geography,metric,week_num,race_var,mean,se,moe_95,moe_95_lb,moe_95_ub,geo_type,sigdiff
AK,uninsured,wk1_2,asian,0.113009898,0.043808244,0.085864159,0.027145739,0.198874057,state,0
AK,uninsured,wk1_2,black,0.121225235,0.088735143,0.173920879,-0.052695644,0.295146115,state,0
AK,uninsured,wk1_2,hispanic,0.106757691,0.037223652,0.072958358,0.033799334,0.179716049,state,0
AK,uninsured,wk1_2,other,0.194009565,0.047573274,0.093243617,0.100765948,0.287253182,state,0
AK,uninsured,wk1_2,white,0.143280265,0.018091528,0.035459395,0.10782087,0.17873966,state,0
AL,uninsured,wk1_2,asian,0.055783085,0.052820893,0.10352895,-0.047745864,0.159312035,state,0
AL,uninsured,wk1_2,black,0.102808148,0.034184338,0.067001303,0.035806845,0.169809451,state,0
AL,uninsured,wk1_2,hispanic,0.445275212,0.19888338,0.389811424,0.055463787,0.835086636,state,0
AL,uninsured,wk1_2,other,0.020060686,0.019206947,0.037645616,-0.01758493,0.057706302,state,1
AL,uninsured,wk1_2,white,0.137647355,0.023487737,0.046035964,0.091611391,0.18368332,state,0
AR,uninsured,wk1_2,asian,0.262858922,0.2183284,0.427923664,-0.165064742,0.690782586,state,0
AR,uninsured,wk1_2,black,0.081198973,0.031655623,0.06204502,0.019153952,0.143243993,state,0
AR,uninsured,wk1_2,hispanic,0.183296615,0.097053858,0.190225562,-0.006928946,0.373522177,state,0
AR,uninsured,wk1_2,other,0.160346822,0.118780795,0.232810358,-0.072463536,0.39315718,state,0
AR,uninsured,wk1_2,white,0.101626755,0.021508032,0.042155742,0.059471013,0.143782497,state,0
AZ,uninsured,wk1_2,asian,0.037306059,0.026998989,0.052918018,-0.015611959,0.090224078,state,1
AZ,uninsured,wk1_2,black,0.102706039,0.044369647,0.086964507,0.015741531,0.189670546,state,0
AZ,uninsured,wk1_2,hispanic,0.263511259,0.044620351,0.087455888,0.176055371,0.350967146,state,1
AZ,uninsured,wk1_2,other,0.177322189,0.084522145,0.165663404,0.011658785,0.342985592,state,0
AZ,uninsured,wk1_2,white,0.107139366,0.011732735,0.022996161,0.084143205,0.130135527,state,1
CA,uninsured,wk1_2,asian,0.110000826,0.027581669,0.054060071,0.055940755,0.164060897,state,0
CA,uninsured,wk1_2,black,0.204826087,0.067253974,0.131817789,0.073008297,0.336643876,state,0
CA,uninsured,wk1_2,hispanic,0.159430002,0.019788553,0.038785565,0.120644437,0.198215567,state,0
CA,uninsured,wk1_2,other,0.078193593,0.034064965,0.066767332,0.011426261,0.144960925,state,0
CA,uninsured,wk1_2,white,0.063554783,0.015930698,0.031224169,0.032330615,0.094778952,state,1
CO,uninsured,wk1_2,asian,0.031155869,0.01918371,0.037600071,-0.006444202,0.06875594,state,1
CO,uninsured,wk1_2,black,0.384197061,0.117928693,0.231140238,0.153056823,0.615337299,state,1
CO,uninsured,wk1_2,hispanic,0.108089183,0.046368095,0.090881466,0.017207717,0.198970649,state,0
CO,uninsured,wk1_2,other,0.159579096,0.059545717,0.116709605,0.042869491,0.276288701,state,0
CO,uninsured,wk1_2,white,0.10737567,0.018825373,0.036897731,0.070477939,0.144273401,state,0
CT,uninsured,wk1_2,asian,0.083814844,0.06844037,0.134143125,-0.050328282,0.217957969,state,0
CT,uninsured,wk1_2,black,0.054952507,0.041440169,0.081222732,-0.026270225,0.136175239,state,0
CT,uninsured,wk1_2,hispanic,0.236449305,0.086917123,0.170357561,0.066091744,0.406806867,state,0
CT,uninsured,wk1_2,other,0.048145566,0.040396222,0.079176594,-0.031031028,0.127322161,state,0
CT,uninsured,wk1_2,white,0.035776483,0.013745197,0.026940585,0.008835897,0.062717068,state,0
DC,uninsured,wk1_2,asian,0.01489246,0.013181932,0.025836586,-0.010944125,0.040729046,state,1
DC,uninsured,wk1_2,black,0.119049573,0.037547601,0.073593297,0.045456275,0.19264287,state,0
DC,uninsured,wk1_2,hispanic,0.189356443,0.072613075,0.142321626,0.047034817,0.331678069,state,0
DC,uninsured,wk1_2,other,0.018083231,0.022707789,0.044507266,-0.026424035,0.062590496,state,0
DC,uninsured,wk1_2,white,0.029579826,0.016182995,0.03171867,-0.002138844,0.061298496,state,0
DE,uninsured,wk1_2,asian,0.026646624,0.028823308,0.056493684,-0.02984706,0.083140308,state,1
DE,uninsured,wk1_2,black,0.0913019,0.036140538,0.070835454,0.020466446,0.162137354,state,0
DE,uninsured,wk1_2,hispanic,0.145659564,0.044101973,0.086439867,0.059219696,0.232099431,state,0
DE,uninsured,wk1_2,other,0.05607295,0.046647392,0.091428888,-0.035355938,0.147501839,state,0
DE,uninsured,wk1_2,white,0.090462527,0.018232759,0.035736207,0.05472632,0.126198734,state,0
FL,uninsured,wk1_2,asian,0.120074706,0.054163938,0.106161318,0.013913387,0.226236024,state,0
FL,uninsured,wk1_2,black,0.207970856,0.051619313,0.101173853,0.106797003,0.309144708,state,0
FL,uninsured,wk1_2,hispanic,0.151309951,0.026665045,0.052263489,0.099046462,0.203573439,state,0
FL,uninsured,wk1_2,other,0.058697476,0.042745189,0.083780571,-0.025083095,0.142478047,state,1
FL,uninsured,wk1_2,white,0.133764605,0.015378431,0.030141726,0.103622879,0.163906331,state,0
GA,uninsured,wk1_2,asian,0.276827182,0.093831964,0.18391065,0.092916532,0.460737833,state,0
GA,uninsured,wk1_2,black,0.185058419,0.044576359,0.087369664,0.097688755,0.272428083,state,0
GA,uninsured,wk1_2,hispanic,0.242958555,0.070347254,0.137880618,0.105077938,0.380839173,state,0
GA,uninsured,wk1_2,other,0.271924745,0.071556755,0.140251239,0.131673506,0.412175985,state,0
GA,uninsured,wk1_2,white,0.149220769,0.014889284,0.029182996,0.120037773,0.178403765,state,0
HI,uninsured,wk1_2,asian,0.063210299,0.016596789,0.032529706,0.030680593,0.095740006,state,0
HI,uninsured,wk1_2,black,0.006081061,0.008616895,0.016889114,-0.010808054,0.022970175,state,1
